trial,delta_stimulation,delta_target,reversed,response,listened,hypothesis,confidence,reaction_time,time_delay,stimulus_time,position,failed,n_block,within_block_counter
0,1.4,1.2,False,1,yes ,yes ,0.99,2.795397996902466,0.15714971152100793,4.22779393196106,5,False,1,0
1,1.2,1.0,False,1,yes ,yes ,0.99,3.046239137649536,0.3938906054345602,0.6075241565704346,1,False,1,1
0,0.2,0.1,False,1,yes ,yes ,0.99,2.9605700969696045,0.3834223610512171,0.6449978351593018,3,False,1,0
1,0.2,0.24000000000000002,True,0,no ,no ,0.96,2.517113208770752,0.3695877302281093,1.3640692234039307,6,False,1,1
2,0.24000000000000002,0.24000000000000002,True,1,yes ,yes ,0.99,2.8678183555603027,0.26314026192082396,1.393042802810669,4,False,1,2
2,1.0,0.8,False,1,yes ,yes ,0.99,2.8809218406677246,0.10949046030422623,2.2042460441589355,1,False,1,2
3,0.8,0.6000000000000001,False,1,yes ,yes ,0.78,2.9456052780151367,0.3032176968122753,1.5823709964752197,7,False,1,3
3,0.24000000000000002,0.24000000000000002,False,1,yes ,yes ,0.98,2.780151605606079,0.37986590362378714,1.1361279487609863,9,False,1,3
4,0.6000000000000001,0.4000000000000001,False,1,yes ,yes ,0.99,3.3569748401641846,0.24278028342767788,0.9669339656829834,6,False,1,4
4,0.24000000000000002,0.14,False,1,yes ,yes ,0.99,3.245021343231201,0.3401838934384281,1.1882576942443848,2,False,1,4
5,0.4000000000000001,0.20000000000000007,False,1,yes ,yes ,0.99,2.9049558639526367,0.3127302940463555,1.0553209781646729,5,False,1,5
0,0.20000000000000007,0.20000000000000007,False,3,0,0,0,0,0,0.4580979347229004,1,True,1,6
6,0.20000000000000007,0.3400000000000001,True,0,no ,no ,0.89,2.94539475440979,0.2140898848098785,0.7005679607391357,9,False,1,7
7,0.3400000000000001,0.3400000000000001,True,1,yes ,yes ,0.99,2.8882579803466797,0.13081306133151,1.1370470523834229,6,False,1,8
8,0.3400000000000001,0.4800000000000001,True,0,no ,no ,0.9,2.7753820419311523,0.10597771849900361,1.1028690338134766,7,False,1,9
9,0.4800000000000001,0.6200000000000001,False,0,no ,no ,0.97,2.780958890914917,0.2044134578752023,1.0420889854431152,4,False,1,10
5,0.2,0.28,True,0,no ,no ,0.85,3.0233232975006104,0.12366351142142576,0.8069679737091064,9,False,1,5
10,0.6200000000000001,0.6200000000000001,True,1,yes ,yes ,0.99,3.150753974914551,0.19619110900191394,0.7127180099487305,3,False,1,11
11,0.6200000000000001,0.6200000000000001,False,1,yes ,yes ,0.99,3.2028276920318604,0.20310317925875876,2.0240278244018555,2,False,1,12
12,0.6200000000000001,0.7600000000000001,True,0,no ,no ,0.92,2.8783979415893555,0.34150609823307654,1.403883934020996,4,False,1,13
13,0.7600000000000001,0.9000000000000001,False,0,no ,no ,0.92,2.797969102859497,0.23163648120435698,0.6947760581970215,5,False,1,14
6,0.28,0.42000000000000004,False,0,no ,no ,0.95,3.174062728881836,0.18560791300444363,1.1498632431030273,8,False,1,6
14,0.9000000000000001,0.9000000000000001,True,1,yes ,yes ,0.99,3.1683247089385986,0.3177900542386462,3.6912379264831543,3,False,1,15
7,0.42000000000000004,0.56,False,0,no ,no ,0.97,2.7629690170288086,0.34150996308765147,2.8337857723236084,6,False,1,7
15,0.9000000000000001,0.9000000000000001,False,1,yes ,yes ,0.99,3.0200579166412354,0.35723560123692544,3.750277042388916,5,False,1,16
16,0.9000000000000001,0.8000000000000002,False,1,yes ,yes ,0.99,3.2340753078460693,0.3944448519999513,1.9577908515930176,8,False,1,17
17,0.8000000000000002,0.8000000000000002,False,1,yes ,yes ,0.99,3.4181580543518066,0.14593269249508162,7.220055103302002,2,False,1,18
18,0.8000000000000002,0.8000000000000002,False,1,yes ,yes ,0.99,2.857741117477417,0.27956438773614345,3.5369091033935547,9,False,1,19
19,0.8000000000000002,0.7000000000000002,False,1,yes ,yes ,0.99,2.755970001220703,0.17436240666461628,4.136023044586182,7,False,1,20
20,0.7000000000000002,0.8400000000000002,True,0,no ,no ,0.9,2.9769017696380615,0.15476219022269982,4.111832857131958,8,False,1,21
8,0.56,0.7000000000000001,False,0,no ,no ,0.98,2.3450698852539062,0.39946893300703834,4.365537881851196,6,False,1,8
21,0.8400000000000002,0.9800000000000002,False,0,no ,no ,0.89,2.935609817504883,0.365315371185877,3.754981756210327,9,False,1,22
9,0.7000000000000001,0.8400000000000001,False,0,no ,no ,0.85,3.280076026916504,0.3275419866049154,8.345027923583984,2,False,1,9
