trial,interactor,cooling,response,time_delay,reaction_time,stimulus_time,position,failed,n_block,within_block_counter
1,1,0,0,0.2719148235282168,0.7083489894866943,4.480028867721558,7,False,1,1
2,1,1,1,0.33094330483392,0.7790820598602295,1.0799832344055176,6,False,1,2
3,0,1,1,0.3527938085177553,0.6938591003417969,2.91328501701355,5,False,1,1
4,2,0,0,0.1392230488648228,1.2244749069213867,3.2314460277557373,1,False,1,2
5,0,0,0,0.1677267048972149,0.6321399211883545,3.029412031173706,7,False,1,3
6,2,1,1,0.30709791265428,0.7086458206176758,1.9921560287475584,5,False,1,4
7,1,1,1,0.2293949058109886,1.0025699138641355,3.03733229637146,3,False,1,5
8,0,0,0,0.1097320209401006,0.6235909461975098,3.1653707027435303,1,False,1,6
9,0,1,1,0.1911300965260884,0.7367191314697266,2.015918970108032,9,False,1,7
10,2,0,0,0.3627748254202787,1.4092628955841064,3.1713407039642334,5,False,1,8
11,1,1,1,0.1237785398913721,0.8107481002807617,5.368134260177612,1,False,1,9
12,2,0,0,0.1150243718877393,0.7110280990600586,3.289607048034668,3,False,1,10
13,2,1,1,0.2939841312332689,0.5644760131835938,2.6402580738067627,8,False,1,11
14,1,1,1,0.1402724206814027,0.5224170684814453,5.334075927734375,4,False,1,12
15,0,0,0,0.3675870864817262,0.8033912181854248,3.0677499771118164,6,False,1,13
16,0,1,1,0.319224844584328,0.6803390979766846,1.7953500747680664,8,False,1,14
17,1,0,0,0.2022125316669993,0.5973899364471436,3.017934083938598,2,False,1,15
18,0,0,0,0.290082526121623,1.042025089263916,2.915796995162964,6,False,1,16
19,0,1,1,0.2336120682206791,0.8545219898223877,2.468280076980591,8,False,1,17
20,0,0,0,0.2050103506529454,0.7372469902038574,1.8966541290283203,2,False,1,18
21,2,0,0,0.3748271497562285,0.567000150680542,1.9841899871826167,6,False,1,19
22,1,1,0,0.2435113225844847,0.700890064239502,3.341129779815674,8,False,1,20
23,2,1,1,0.328304634967871,0.6971938610076904,4.758742094039917,2,False,1,21
24,0,0,0,0.3846731037152923,1.007451057434082,2.17991304397583,4,False,1,22
25,2,0,0,0.1570831630455185,0.6823890209197998,3.2955410480499268,6,False,1,23
26,2,0,0,0.222748422404755,0.5883290767669678,1.8946609497070312,8,False,1,24
27,2,0,0,0.299888434995666,0.5459940433502197,3.067423343658448,4,False,1,25
28,1,0,0,0.2816407200319329,0.6726999282836914,3.312897205352783,3,False,1,26
29,0,0,0,0.3308541460769486,1.475376844406128,3.3275420665740967,9,False,1,27
30,1,1,1,0.315648273384858,0.6719479560852051,5.409467935562134,7,False,1,28
31,0,1,1,0.3206635400315669,1.285120964050293,4.064651966094971,3,False,1,29
32,1,1,1,0.1945690677371256,0.6405508518218994,9.077557802200316,1,False,1,30
